Student ID,Distance Z-score,Distance Min-Max Scaled,Score,Maximum,Score / Maximum %,Z-score of 100% Submissions
s1041b5c9,0.7624570353912185,0.34860528569487587,51.0,200,0.255,0.4221959844840367
s1052bd77,0.21452594693711263,0.29226359041526156,13.0,81,0.16049382716049382,-0.7715629618599039
s106e6058,-0.05596745671257676,0.1667134774224678,122.0,164,0.7439024390243902,0.0402939607118263
s116f876e,-0.20022605123508075,0.1571999597762943,263.0,299,0.8795986622073578,-0.07247336362666805
s121e58a1,-0.2268825692848753,0.14385555523695737,299.0,299,1.0,-0.15383890096489025
s125ba958,0.6863812040731089,0.35009499780097963,215.0,224,0.9598214285714286,1.0278745017792148
s126cf4ce,-0.16346577512378743,0.1569019990724062,274.0,294,0.9319727891156463,-0.0559167698477653
s128685a7,-0.02369679812353606,0.18084214506303103,247.0,299,0.8260869565217391,0.08276690637286628
s12bfba84,0.049764513365996695,0.18808921716139707,282.0,299,0.9431438127090301,0.13592647396047128
s1357ef63,-0.11001064082915869,0.16311428829474522,130.0,167,0.7784431137724551,0.08978945719287837
s13fb59e7,0.06363775089281988,0.17344506551000458,208.0,219,0.9497716894977168,0.08802409214709739
s142d2a0c,-0.5052112705779465,0.08590236013130272,234.0,275,0.850909090909091,-0.4194132926417003
s142f3cd,-0.033407736074317254,0.16053309307793803,254.0,264,0.9621212121212122,0.05612404197505118
s14309695,0.37807655757071656,0.26023627954531287,326.0,425,0.7670588235294118,0.44050274260614697
s1436d556,0.027227930261239822,0.1817787387267838,294.0,299,0.9832775919732442,0.10341093778935181
s14dac1e7,-0.3580921563410828,0.10758959640729644,272.0,294,0.9251700680272109,-0.21670737179815033
s14ed46fd,-0.4696103988782752,0.08672014741764067,141.0,174,0.8103448275862069,-0.6168838810770741
s151f8e85,0.5408859688792507,0.27144408055980074,25.0,65,0.38461538461538464,-0.5459517187939477
s15791c4c,-0.16085474714044376,0.1503771338944056,294.0,304,0.9671052631578947,-0.3026383011452208
s159c1ea3,-0.26126332863209073,0.13884716978474093,166.0,239,0.694560669456067,-0.1543412152819656
s15de0feb,0.3465804589095388,0.2506246470916085,195.0,279,0.6989247311827957,0.24543526654076553
s174a2e92,-0.3840816386917126,0.11159042087189486,290.0,299,0.9698996655518395,-0.20811894645360343
s17b7ccd2,-0.2165729050389774,0.13557527406351072,256.0,289,0.8858131487889274,-0.2376628233864185
s17ba9ad5,-0.36904160071281894,0.11775882623717326,207.0,289,0.7162629757785467,-0.4652142221449195
s18f414c5,2.3654237632399004,0.6232438091124094,29.0,140,0.20714285714285716,2.2576351006930224
s19184a3e,-0.5827756349105758,0.07702536241996286,20.0,20,1.0,-0.5115050723280073
s194a342e,-0.5053236979458652,0.08592775158090346,292.0,299,0.9765886287625418,-0.4634654228055646
s19d0bc34,-0.40952370701550633,0.09427599800758087,215.0,249,0.8634538152610441,-0.27821610426050747
s19d0f25,0.3308563554878252,0.24903836693132922,136.0,219,0.6210045662100456,0.20581159105447883
s1a2bc1e2,-0.3483197849670362,0.11404982790473374,260.0,294,0.8843537414965986,-0.18576755825316363
s1a3b7cd7,1.056037413902925,0.3921274676581773,73.0,105,0.6952380952380952,1.5987598455709588
s1a54a266,-0.2759388557812629,0.13063256961062875,261.0,279,0.9354838709677419,-0.3450673458198541
s1a748834,0.10324281442422571,0.20689409535211922,139.0,159,0.8742138364779874,0.24982032477122967
s1b112c16,-0.27979513620061197,0.1349791480565937,259.0,274,0.9452554744525548,-0.2008296019615138
s1b50ba0f,0.08227413635372519,0.19216082243347504,210.0,224,0.9375,0.17236092943270226
s1b801c67,0.24335190514382937,0.2367148215175447,31.0,149,0.2080536912751678,0.4335785439334579
s1b98fd4e,-0.2377166271754459,0.1386521301370045,135.0,262,0.5152671755725191,-0.4203374991703833
s1baeda84,-0.02833991250232455,0.18437478790646597,165.0,289,0.5709342560553633,-0.3107667590028893
s1bf91bb0,0.16578183060231103,0.2156717604945964,229.0,264,0.8674242424242424,-0.02134280662911984
s1c72596e,-0.015753781781754198,0.17477643349811312,290.0,304,0.9539473684210527,-0.17735862328732388
s1cedb8ee,-0.3344078108400397,0.1257025525884518,278.0,294,0.9455782312925171,-0.3543535116163653
s1d182ad5,-0.12745677852107928,0.17847573328086289,216.0,259,0.833976833976834,0.10564180235620937
s1ddb3f19,1.6199522834031492,0.527655816531177,294.0,304,0.9671052631578947,1.9094957039991949
s1ddfd095,-0.422328439132903,0.09401237817352426,283.0,294,0.9625850340136054,-0.4545055992088447
s1e4e2c4e,-0.31361142594072583,0.136151921658984,263.0,294,0.8945578231292517,-0.11184990548714499
s1e7f0914,-0.5017218736121158,0.08930055083987952,233.0,284,0.8204225352112676,-0.2853945025205296
s20087adb,1.398905130742436,0.4871453757639814,184.0,249,0.7389558232931727,1.968761301570506
s204527a1,0.34479104180305703,0.21747858236934128,153.0,209,0.7320574162679426,0.08612399394762697
s2087a438,0.22814802951214294,0.21559358393351938,223.0,244,0.9139344262295082,0.04156093529636191
s20bc958,-0.058983881878011186,0.16677923788218948,296.0,304,0.9736842105263158,-0.10974350905097226
s20d500d1,1.0205501023820815,0.40408364815155245,92.0,220,0.41818181818181815,0.893917095510302
s20dcd5d,0.14926950480281084,0.21380550264113093,166.0,247,0.6720647773279352,-0.11359111837095427
s20ffbd50,0.15118985712335542,0.21700810126123607,298.0,299,0.9966555183946488,0.1823768672572897
s21ca2c85,-0.024030110186682087,0.1725924725923055,142.0,232,0.6120689655172413,0.3507148848931248
s21f8d764,0.38719764232172144,0.29938443916905777,101.0,184,0.5489130434782609,-0.14858955545900573
s22236310,0.13342088791816806,0.20154766077421007,65.0,104,0.625,0.053716783559767
s222a409d,0.2555738976421686,0.2202061645134011,224.0,274,0.8175182481751825,0.2803311369343861
s225ff55b,-0.4831857263332041,0.09353681127168222,49.0,104,0.47115384615384615,-0.46677811098695804
s22885fe6,-0.31492838039818744,0.131623787418328,285.0,299,0.9531772575250836,-0.2688720762076315
s23006e34,0.39124004126871254,0.28426301827389344,100.0,168,0.5952380952380952,0.5590236012510543
s2301c49a,0.32444044361060215,0.29822882878417967,29.0,64,0.453125,-0.384813984080713
s23028753,-0.2221054988620379,0.15016090405462565,232.0,239,0.9707112970711297,-0.12167002326530381
s2304e4d8,0.5914421807144561,0.319280018345894,259.0,498,0.5200803212851406,1.3086026042386052
s23411183,-0.36485460411215676,0.11310195795443162,239.0,264,0.9053030303030303,-0.15381717240014403
s23693dd7,0.35740611727137456,0.25546068481354356,112.0,201,0.5572139303482587,0.3275706357597947
s23ce8788,-0.3680217890144925,0.10162882108849873,250.0,299,0.8361204013377926,-0.39275289705145844
s240f5757,-0.042291523862726915,0.18868086672429288,133.0,248,0.5362903225806451,0.03426458534975091
s24722562,0.8381697044013495,0.3639282662473728,270.0,294,0.9183673469387755,1.1747572774739063
s249f89d0,-0.0577972422717667,0.18357647875582583,189.0,254,0.7440944881889764,-0.005597488844046354
s2566bd69,0.04233120734898275,0.19281659838287704,283.0,299,0.9464882943143813,0.11500904029710254
s25964280,-0.006474866792515188,0.17669036346436032,236.0,299,0.7892976588628763,-0.09073315402199042
s25e5a71,-0.5605954213982424,0.08345160616758115,244.0,304,0.8026315789473685,-0.522246150639234
s26cf9c17,-0.5137205159393013,0.08808476434112211,217.0,279,0.7777777777777778,-0.48757896395527317
s26e33d58,0.08091209274679459,0.20975076486096983,275.0,299,0.919732441471572,0.055122152618467396
s2752b03e,-0.49554314201601146,0.09810672644325039,254.0,272,0.9338235294117647,-0.39225515407525363
s27cbdbca,-0.2668114131968989,0.13922908842831505,179.0,219,0.817351598173516,-0.29541568436049787
s28751b61,-0.3055976801880409,0.12155972749173799,80.0,164,0.4878048780487805,-0.578630252629075
s28f0c24a,-0.1165886702177896,0.2168010346848392,45.0,58,0.7758620689655172,-0.4821930436836323
s294ae531,0.4673731045134707,0.2766134147470229,177.0,212,0.8349056603773585,0.6069830314327386
s29a20ed0,0.5132706411731373,0.3191321976529767,15.0,51,0.29411764705882354,-0.3447709450508852
s29cd7f2a,-0.25610648206768816,0.1450971159613537,98.0,144,0.6805555555555556,-0.27635064186960917
s29e02a9c,-0.07236818215022753,0.1739589041151591,295.0,299,0.9866220735785953,0.014051142421474122
s2a87dd94,0.159642660810124,0.20412567647585436,281.0,299,0.939799331103679,0.3717351846536148
s2aa2578a,-0.5335658764920305,0.0855146612447653,290.0,299,0.9698996655518395,-0.5725039142414035
s2abcd7fd,-0.38854881665251784,0.10894350232364654,144.0,209,0.6889952153110048,-0.6443800112268009
s2b0b7847,-0.08989521223421672,0.16034453173965624,212.0,229,0.925764192139738,0.08824030903744236
s2b17538b,-0.290045041093236,0.11464967916546112,255.0,284,0.897887323943662,-0.3315355945856574
s2b474606,-0.25984671856688013,0.12588653693974766,182.0,244,0.7459016393442623,-0.2849064819829227
s2b75f478,-0.4259916884376249,0.11118730708097073,142.0,189,0.7513227513227513,-0.3940227602492104
s2b8ac9db,-0.030852175685283163,0.18084105941568018,168.0,194,0.865979381443299,0.14815838565793168
s2ba2db31,-0.42013097821115725,0.10410600644495993,295.0,299,0.9866220735785953,-0.36426592140700137
s2c243bc7,0.17247043629509037,0.2431694482545398,128.0,234,0.5470085470085471,-0.14045915835308553
s2c859d3d,0.5364481638320248,0.31209648672870777,131.0,218,0.6009174311926605,0.6742796577958187
s2ce5336d,-0.21720186045466533,0.14228141473583197,194.0,243,0.7983539094650206,-0.18936250449523756
s2d43f936,1.5091484084830087,0.49534120406144727,211.0,258,0.8178294573643411,1.974000905842718
s2e18b447,-0.44784742140095124,0.10109573042277949,244.0,269,0.9070631970260223,-0.466507825619993
s2e3c4216,-0.6321539935667613,0.07253227017887279,235.0,274,0.8576642335766423,-0.4923853497412935
s2e6eb06b,-0.12136019564616014,0.1659007275276447,273.0,299,0.9130434782608695,0.12834112032422548
s2e8bb09,-0.35217583958852217,0.1125008432293475,242.0,284,0.852112676056338,-0.3046342327983506
s2e9024f9,1.6140115626243605,0.5179421785721525,231.0,284,0.8133802816901409,2.2368464740703238
s2f016d92,-0.07100408755986504,0.15657959237813296,266.0,304,0.875,0.06512359944674542
s2f18be67,-0.27754108137668343,0.12141369365746355,140.0,204,0.6862745098039216,-0.335479378543889
s2f5dab1d,-0.11386364937685231,0.15007370030999403,280.0,284,0.9859154929577465,0.03257394771786154
s2f75c1e0,-0.3338708817044759,0.13023350925814528,194.0,233,0.8326180257510729,-0.4904533639859133
s3005302d,1.0326894597329115,0.42936970752524456,142.0,229,0.6200873362445415,1.134036531399203
s300721cc,-0.3190105358885557,0.12487437971715222,99.0,99,1.0,-0.17156224931401376
s3108ec56,-0.4463303547592253,0.09984391723193735,295.0,299,0.9866220735785953,-0.25231063353194727
s310ea7c2,-0.4282417882003166,0.09971647496427678,283.0,299,0.9464882943143813,-0.3179050151994276
s31915baa,-0.5053928262941734,0.09283986376614838,265.0,284,0.9330985915492958,-0.473875802844829
s322c45ca,-0.5438618498532712,0.07738589853535423,279.0,289,0.9653979238754326,-0.5082536762665001
s32763c8a,-0.3005432509157282,0.11590917843408953,280.0,294,0.9523809523809523,-0.39117480044403946
s329d2740,-0.45066310787556346,0.09582797448369647,251.0,293,0.856655290102389,-0.29429776218633635
s32d1794b,-0.016726052386972824,0.17013811814617266,215.0,238,0.9033613445378151,0.1854474491697604
s32d4e07d,0.6155891551408331,0.3246051823828951,58.0,177,0.327683615819209,-0.4393737929225211
s333bcfd1,-0.4290838834799017,0.09249370444136872,227.0,234,0.9700854700854701,-0.36297129835443537
s3354fe5c,0.09832863785185264,0.19763000437656342,52.0,129,0.40310077519379844,0.6896393642524095
s338167e5,0.23071248861419114,0.2606879801972016,297.0,304,0.9769736842105263,0.551193060062522
s34010ab4,-0.017051513645259975,0.20825266728857963,154.0,249,0.6184738955823293,0.2840057725163976
s34533ae2,-0.24159330653336444,0.14148670003825362,194.0,218,0.8899082568807339,-0.31411671455666607
s346ad97f,-0.073898629961771,0.17237381479619937,248.0,274,0.9051094890510949,0.07404132637542393
s3471ac9e,-0.429319363070095,0.10429600211233743,213.0,269,0.79182156133829,-0.27460025001002003
s34933df8,0.3827069163018555,0.2712641794150371,192.0,258,0.7441860465116279,0.22919874392484152
s34ad6a72,-0.4057419226408217,0.10754671795259792,88.0,159,0.5534591194968553,-0.4478481078062466
s34b3a29b,0.26266998226917715,0.21833394947207768,15.0,62,0.24193548387096775,-0.4081597854668908
s353a060b,-0.4259444822002602,0.09538813744572772,232.0,244,0.9508196721311475,-0.3066230520854052
s35a335c5,0.33285763051357214,0.2549254699745934,116.0,217,0.5345622119815668,-0.4819344617309274
s3639497a,-0.12729279431348395,0.16108505607941467,179.0,226,0.7920353982300885,-0.07694278544051729
s368db2d0,-0.3409940545887498,0.12166729844686404,117.0,199,0.5879396984924623,-0.6140725148837617
s3750440f,-0.24580243920587022,0.1296930370869982,178.0,249,0.714859437751004,-0.2958585901423169
s379ab0e,-0.16492263963703388,0.15887619506823897,184.0,234,0.7863247863247863,-0.2245590638733177
s37da858b,-0.26738213170563957,0.12674449909986457,292.0,299,0.9765886287625418,-0.2298786751645771
s382917a8,-0.21554092200883287,0.14462202750698416,285.0,309,0.9223300970873787,-0.1533418887987171
s388c0ca1,-0.25850359900128855,0.12975570275578516,183.0,209,0.8755980861244019,-0.14608805037147915
s38b2fae3,-0.36927308453246754,0.11243245404338952,299.0,299,1.0,-0.21197520825225186
s39400242,0.04763048532790898,0.19935628653375767,152.0,214,0.7102803738317757,0.29200348297625695
s39985ef0,1.473433803362903,0.4907103461558522,132.0,228,0.5789473684210527,1.9888138233432098
s39c1e811,0.01362547710387939,0.18685191733813156,251.0,294,0.8537414965986394,0.0009021110978526536
s39c4c2fd,0.04084597850945409,0.17623706206420156,275.0,284,0.9683098591549296,0.06867444611098261
s39c9af61,-0.5699874414348476,0.08593194774172001,301.0,304,0.9901315789473685,-0.5637561063203542
s39f741b9,-0.37475331299319453,0.10419263380396813,284.0,289,0.9826989619377162,-0.4315020558868512
s3ad23591,-0.33043198512330557,0.13319331147935373,106.0,168,0.6309523809523809,-0.6202848362253063
s3b1ed1f,0.5044880232340528,0.2743299652709007,60.0,86,0.6976744186046512,0.4684311736444947
s3b3bf8f0,-0.4052277921760401,0.1082145656401095,113.0,131,0.8625954198473282,-0.3472293713123275
s3bab2a30,0.18180213170116263,0.21846390213140082,100.0,192,0.5208333333333334,-0.01598483232744008
s3c951a89,-0.31549955155026915,0.12321605490472752,168.0,229,0.7336244541484717,-0.16967736725125038
s3cd49ef7,-0.14218994350592506,0.1708738205250078,142.0,214,0.6635514018691588,-0.3125718407963301
s3d13cc7,-0.39848932383843644,0.09831184146577417,156.0,164,0.9512195121951219,-0.31795941962510343
s3dd4ab10,-0.12810802278694386,0.15033451055162567,160.0,229,0.6986899563318777,-0.16553215508896935
s3e5e03a7,0.43163366385328195,0.26061557478326725,299.0,299,1.0,0.5480901625674022
s3ee641f5,0.07714813328120729,0.18439403952248126,28.0,91,0.3076923076923077,-0.3351299513738068
s3ef19002,-0.5131864939490276,0.10132867895544585,264.0,264,1.0,-0.3745852744624383
s3fa7a4aa,0.027705795124734225,0.17119979089208903,234.0,354,0.6610169491525424,0.10142400678223833
s3fc42e37,-0.16562356963240757,0.1557646249849569,284.0,294,0.9659863945578231,-0.1369010231948757
s3fe3445,0.7469119464453468,0.32343277715605356,293.0,299,0.979933110367893,0.8821091679605343
s401b611e,-0.09683408748968063,0.1820239074919713,278.0,299,0.9297658862876255,0.21347339602145624
s404910ae,0.9441314425312133,0.3930567479888726,254.0,299,0.8494983277591973,1.2917061729825825
